时间, 账本, 类型, 一级分类, 二级分类, 金额, 账户, 报销, 备注
2025/11/01 19:37:33,日常账本,支出,餐饮,,-22.0,微信钱包,,木耳肉盖饭
2025/11/01 14:30:36,日常账本,支出,日用,洗衣液,-6.87,支付宝,,洗衣液
2025/10/31 12:52:41,日常账本,收入,其他,扫码领,1.0,微信钱包,,开箱有礼码上有钱-陕西-1元微信红包-1.00
2025/10/31 12:51:06,日常账本,收入,其他,扫码领,0.58,微信钱包,,开盖扫码赢888现金红包
2025/10/31 11:56:13,日常账本,收入,任推邦,,20.94,中信银行,,网盘推广
2025/10/30 20:43:51,日常账本,支出,交通,,-30.0,微信钱包,,微付充科技
2025/10/29 17:20:01,日常账本,支出,餐饮,,-13.5,支付宝,,潮汕李仔记(咸宁路店)外卖订单
2025/10/28 22:18:24,日常账本,收入,咸鱼收入,,1.0,支付宝,,闲鱼转账
2025/10/28 20:29:40,日常账本,支出,餐饮,,-36.0,微信钱包,,魏斯理汉堡
2025/10/28 20:14:16,日常账本,支出,买药,,-56.0,微信钱包,,异维a酸
2025/10/28 15:16:12,日常账本,支出,其它,,-0.4,微信钱包,,留白打印
2025/10/28 14:20:54,日常账本,支出,其它,,-0.2,微信钱包,,留白打印
2025/10/28 14:14:07,日常账本,支出,其它,,-0.2,微信钱包,,留白打印
2025/10/28 12:00:50,日常账本,支出,饮品,饮料,-5.0,微信钱包,,元气森林
2025/10/28 11:44:26,日常账本,支出,餐饮,,-11.69,微信钱包,,称重快餐
2025/10/27 19:58:47,日常账本,支出,零食,,-16.5,微信钱包,,粮食+冰茶
2025/10/27 19:53:56,日常账本,支出,零食,,-2.0,微信钱包,,脆骨肠
2025/10/27 19:36:54,日常账本,支出,餐饮,,-7.5,微信钱包,,手抓饼
2025/10/27 12:55:52,日常账本,支出,餐饮,,-3.0,微信钱包,,肉肠
2025/10/27 12:53:48,日常账本,支出,餐饮,,-18.8,微信钱包,,香锅
2025/10/27 12:46:11,日常账本,支出,其它,,-5.0,微信钱包,,洗衣服
2025/10/26 23:07:25,日常账本,收入,转账薅钱,,3.0,支付宝,,转账薅钱
2025/10/26 21:15:13,日常账本,支出,饮品,矿泉水,-7.0,微信钱包,,农夫山泉和百岁山
2025/10/26 19:21:30,日常账本,支出,餐饮,,-36.0,微信钱包,,魏斯理汉堡
2025/10/26 17:59:04,日常账本,支出,饮品,饮料,-5.9,微信钱包,,瑞幸冰茶
2025/10/26 13:07:57,日常账本,支出,其它,,-2.0,微信钱包,,打印
2025/10/26 09:44:41,日常账本,支出,其它,,-2.0,支付宝,,阿里云
2025/10/25 19:08:13,日常账本,转账,转账,,-30.0,支付宝,,支付宝>微信钱包
2025/10/25 19:08:13,日常账本,转账,转账,,30.0,微信钱包,,支付宝>微信钱包
2025/10/25 16:39:40,日常账本,支出,游戏,,-50.0,微信钱包,,500点券*1(为2**933购买)
