时间, 账本, 类型, 一级分类, 二级分类, 金额, 账户, 报销, 备注
2024/12/31 20:48:01,日常账本,支出,餐饮,,-3.0,支付宝,,广东肠粉
2024/12/31 20:43:44,日常账本,收入,其他,,5.0,支付宝,,支付宝商家服务-收款记录
2024/12/31 20:25:49,日常账本,收入,其他,,3.0,支付宝,,支付宝商家服务-收款记录
2024/12/31 09:47:23,日常账本,支出,餐饮,,-5.0,微信钱包,,宫廷香酥牛肉饼
2024/12/31 09:12:11,日常账本,收入,咸鱼收入,,1.0,支付宝,,Go开发工程师全套资料，项目源码+视频教程，入门到高级全覆盖
2024/12/30 21:01:04,日常账本,支出,购物,,-21.67,支付宝,,旺仔牛奶
2024/12/30 15:47:49,日常账本,收入,生活费,,0.59,支付宝,,碰一下支付现金奖励
2024/12/30 15:47:40,日常账本,收入,其他,,2.0,支付宝,,支付宝商家服务-收款记录
2024/12/30 15:46:16,日常账本,收入,其他,,0.5,支付宝,,碰一下支付现金奖励
2024/12/30 15:46:16,日常账本,收入,其他,,2.15,支付宝,,碰一下支付现金奖励
2024/12/30 15:46:09,日常账本,收入,其他,,2.0,支付宝,,测试红包
2024/12/30 10:28:33,日常账本,收入,零钱通,,0.25,微信钱包,,
2024/12/29 13:33:20,日常账本,支出,购物,,-14.37,支付宝,,湿巾和旺仔牛奶
2024/12/28 21:46:26,日常账本,收入,咸鱼收入,,1.0,支付宝,,Go开发工程师全套资料，项目源码+视频教程，入门到高级全覆盖
2024/12/28 19:40:45,日常账本,收入,咸鱼收入,,1.0,支付宝,,Go开发工程师全套资料，项目源码+视频教程，入门到高级全覆盖
2024/12/28 19:13:28,日常账本,支出,购物,,-6.5,微信钱包,,全麦面包
2024/12/28 18:43:55,日常账本,支出,餐饮,,-25.9,支付宝,,塔斯汀中国汉堡(咸宁东路店)
2024/12/28 11:23:48,日常账本,支出,娱乐,,-50.0,微信钱包,,深圳市腾讯天游科技有限公司
2024/12/28 10:44:17,日常账本,支出,餐饮,,-5.0,微信钱包,,宫廷香酥牛肉饼
2024/12/28 10:35:15,日常账本,支出,购物,,-73.8,微信钱包,,面霜
2024/12/27 15:37:18,日常账本,支出,其它,,-1.0,微信钱包,,铅笔
2024/12/27 13:43:35,日常账本,支出,其它,,-0.4,微信钱包,,西安市长安区双鱼复印部
2024/12/27 09:18:18,日常账本,支出,餐饮,,-3.5,微信钱包,,稀饭
2024/12/27 09:17:24,日常账本,支出,餐饮,,-5.0,微信钱包,,麦香馅饼
2024/12/26 21:41:58,日常账本,支出,其它,,-2.6,微信钱包,,留白打印
2024/12/26 21:39:01,日常账本,支出,饮品,,-4.87,支付宝,,冰茶
2024/12/26 19:17:43,日常账本,支出,餐饮,,-3.0,微信钱包,,肉肠
2024/12/26 18:54:10,日常账本,支出,餐饮,,-10.0,微信钱包,,孜然鸡肉拌面
2024/12/26 18:52:16,日常账本,支出,水果捞,,-15.6,微信钱包,,商户_张春燕
2024/12/26 12:30:31,日常账本,支出,零食,,-3.37,支付宝,,酸奶
2024/12/26 12:12:43,日常账本,支出,餐饮,,-15.0,微信钱包,,
2024/12/25 19:15:16,日常账本,支出,住房,水费,-5.0,微信钱包,,水卡
2024/12/25 18:21:03,日常账本,支出,饮品,,-6.37,支付宝,,学子超市
2024/12/25 17:59:11,日常账本,支出,餐饮,,-13.34,微信钱包,,香锅
2024/12/25 15:32:37,日常账本,支出,其它,,-300.0,微信钱包,,借钱
2024/12/25 11:48:13,日常账本,支出,饮品,,-3.37,支付宝,,凡花不入眼
2024/12/25 11:14:41,日常账本,支出,餐饮,,-12.0,微信钱包,,牛肉骨汤粉丝
2024/12/24 21:19:48,日常账本,收入,火影租号,,10.7,微信钱包,,
2024/12/24 21:07:58,日常账本,收入,咸鱼收入,,3.0,支付宝,,鸡翅club项目，Java微服务框架课程，从零开始手搓项目
2024/12/24 18:58:42,日常账本,支出,零食,,-2.87,支付宝,,酸奶
2024/12/24 18:00:17,日常账本,支出,餐饮,,-12.0,微信钱包,,茶泡饭
2024/12/24 14:53:32,日常账本,收入,咸鱼收入,,1.5,支付宝,,尚硅谷java2024北京班线下完结课程(完结无密)
2024/12/24 11:40:50,日常账本,支出,水果捞,,-17.4,微信钱包,,商户_张春燕
2024/12/24 11:23:11,日常账本,支出,餐饮,,-14.0,微信钱包,,木桶饭
2024/12/24 08:20:25,日常账本,支出,餐饮,,-3.0,微信钱包,,早餐
2024/12/24 08:19:48,日常账本,支出,餐饮,,-3.5,微信钱包,,包子
2024/12/23 23:08:42,日常账本,收入,余额宝,,0.26,支付宝,,
2024/12/23 23:08:21,日常账本,收入,零钱通,,1.0,微信钱包,,
2024/12/23 22:58:57,日常账本,支出,投入,,-400.0,中信银行,,债券
2024/12/23 19:24:53,日常账本,支出,其它,,-15.0,微信钱包,,快递费，把子肉
2024/12/23 18:17:46,日常账本,收入,咸鱼收入,,1.0,支付宝,,Go开发工程师全套资料，项目源码+视频教程，入门到高级全覆盖
2024/12/23 17:44:02,日常账本,支出,餐饮,,-17.1,微信钱包,,冒菜
2024/12/23 15:28:08,日常账本,支出,其它,,-0.02,微信钱包,,心之易活动
2024/12/23 15:21:16,日常账本,支出,其它,,-0.02,微信钱包,,心之易活动
